"Link Text","URL"
"American Funds 2035 Target Date Retirement Fund®",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631C726"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631C726"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631C726"
"",""
"",""
"American Funds 2040 Target Date Retirement Fund®",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631C676"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631C676"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631C676"
"",""
"",""
"American Funds 2045 Target Date Retirement Fund®",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631C635"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631C635"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631C635"
"",""
"",""
"American Funds 2050 Target Date Retirement Fund®",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631C585"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631C585"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631C585"
"",""
"",""
"American Funds 2055 Target Date Retirement Fund®",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631C544"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631C544"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631C544"
"",""
"",""
"American Funds 2060 Target Date Retirement Fund®",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631C395"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631C395"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631C395"
"",""
"",""
"American Funds® 2065 Target Date Retirement Fund",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631V690"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631V690"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631V690"
"",""
"",""
"American Funds® 2070 Target Date Retirement Fund",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631V542"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631V542"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631V542"
"",""
"",""
"Order literature online",""
"Access full statutory prospectuses",""
"(Prospectus schedule PDF)",""
"Portfolio Resources",""
"Common Holdings in Our Funds Table",""
"Schedule of Dividend Payment Dates",""
"Stats Update/Lipper and Morningstar Rankings",""
"Resource Guide",""
"Advisor’s Guide",""
"A Portfolio for Every Investor",""
"prospectuses and summary prospectuses,",""
"Contact Us",""
"Sign Up for Email",""
"","https://www.linkedin.com/company/capital-group"
"","https://twitter.com/CapitalGroup"
"","https://www.facebook.com/CapitalGroup/"
"","https://www.youtube.com/c/capitalgroupvideos"
"","https://www.instagram.com/capitalgroup"
"Dashboard / Client List",""
"Recent Transactions",""
"Find an Investment",""
"Mutual Fund Returns",""
"Portfolio Solutions & Services",""
"Fixed Income",""
"CollegeAmerica® 529 Plans",""
"Variable Annuity Insurance Solutions",""
"Exchange-Traded Funds",""
"Separately Managed Accounts",""
"Retirement Plan Solution Center",""
"Target Date Retirement Series",""
"Employer-Sponsored Plans",""
"Traditional and Roth IRAs",""
"Evaluate Target Date Series",""
"Compare Plan Fees & Expenses",""
"Capital Ideas™",""
"PracticeLab®",""
"Account Resource Center",""
"Forms & Literature",""
"Tax Center",""
"Submit Documents Online",""
"Run a Hypothetical",""
"Screen or Compare Investments",""
"Co-browse",""
"Account security",""
"Who We Are",""
"",""
"Investment Approach",""
"Our History",""
"Our Culture",""
"Global Citizenship",""
"Supplier Inclusion",""
"Newsroom",""
"Careers",""
"Locations",""
"Security & Fraud",""
"Policies & Disclosures",""
"PRIVACY",""
"Portfolio Agreement",""
"Business Continuity",""
"Third-Party Content",""
"Accessibility Statement",""
"Ad Choices",""
"Privacy Policy","https://www.capitalgroup.com/individual/privacy.html"
